"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 20:44:20,3.01 GB/s
2026-05-03 20:44:40,3.01 GB/s
2026-05-03 20:45:00,3.00 GB/s
2026-05-03 20:45:20,3.12 GB/s
2026-05-03 20:45:40,3.12 GB/s
2026-05-03 20:46:00,2.98 GB/s
2026-05-03 20:46:20,3.04 GB/s
2026-05-03 20:46:40,3.04 GB/s
2026-05-03 20:47:00,3.03 GB/s
2026-05-03 20:47:20,2.99 GB/s
2026-05-03 20:47:40,2.99 GB/s
2026-05-03 20:48:00,3.16 GB/s
2026-05-03 20:48:20,2.99 GB/s
2026-05-03 20:48:40,2.99 GB/s
2026-05-03 20:49:00,3.03 GB/s
2026-05-03 20:49:20,3.07 GB/s
2026-05-03 20:49:40,3.07 GB/s
2026-05-03 20:50:00,3.00 GB/s
2026-05-03 20:50:20,3.12 GB/s
2026-05-03 20:50:40,3.12 GB/s
2026-05-03 20:51:00,2.98 GB/s
2026-05-03 20:51:20,3.03 GB/s
2026-05-03 20:51:40,3.03 GB/s
2026-05-03 20:52:00,3.09 GB/s
2026-05-03 20:52:20,3.00 GB/s
2026-05-03 20:52:40,3.00 GB/s
2026-05-03 20:53:00,3.09 GB/s
2026-05-03 20:53:20,3.05 GB/s
2026-05-03 20:53:40,3.05 GB/s
2026-05-03 20:54:00,2.98 GB/s
2026-05-03 20:54:20,3.12 GB/s
2026-05-03 20:54:40,3.12 GB/s
2026-05-03 20:55:00,2.94 GB/s
2026-05-03 20:55:20,2.86 GB/s
2026-05-03 20:55:40,2.86 GB/s
2026-05-03 20:56:00,3.12 GB/s
2026-05-03 20:56:20,2.95 GB/s
2026-05-03 20:56:40,2.95 GB/s
2026-05-03 20:57:00,2.98 GB/s
2026-05-03 20:57:20,3.08 GB/s
2026-05-03 20:57:40,3.08 GB/s
2026-05-03 20:58:00,2.96 GB/s
2026-05-03 20:58:20,2.98 GB/s
2026-05-03 20:58:40,2.98 GB/s
2026-05-03 20:59:00,3.07 GB/s
2026-05-03 20:59:20,2.97 GB/s
2026-05-03 20:59:40,2.97 GB/s
2026-05-03 21:00:00,3.03 GB/s
2026-05-03 21:00:20,3.04 GB/s
2026-05-03 21:00:40,3.04 GB/s
2026-05-03 21:01:00,2.98 GB/s
2026-05-03 21:01:20,3.12 GB/s
2026-05-03 21:01:40,3.12 GB/s
2026-05-03 21:02:00,2.99 GB/s
2026-05-03 21:02:20,3.02 GB/s
2026-05-03 21:02:40,3.02 GB/s
2026-05-03 21:03:00,3.08 GB/s
2026-05-03 21:03:20,2.99 GB/s
2026-05-03 21:03:40,2.99 GB/s
2026-05-03 21:04:00,3.10 GB/s
2026-05-03 21:04:20,3.06 GB/s
2026-05-03 21:04:40,3.06 GB/s
2026-05-03 21:05:00,2.99 GB/s
2026-05-03 21:05:20,3.12 GB/s
2026-05-03 21:05:40,3.12 GB/s
2026-05-03 21:06:00,3.00 GB/s
2026-05-03 21:06:20,3.07 GB/s
2026-05-03 21:06:40,3.07 GB/s
2026-05-03 21:07:00,3.01 GB/s
2026-05-03 21:07:20,2.98 GB/s
2026-05-03 21:07:40,2.98 GB/s
2026-05-03 21:08:00,3.16 GB/s
2026-05-03 21:08:20,2.98 GB/s
2026-05-03 21:08:40,2.98 GB/s
2026-05-03 21:09:00,3.04 GB/s
2026-05-03 21:09:20,3.05 GB/s
2026-05-03 21:09:40,3.05 GB/s
2026-05-03 21:10:00,3.01 GB/s
2026-05-03 21:10:20,3.12 GB/s
2026-05-03 21:10:40,3.12 GB/s
2026-05-03 21:11:00,2.99 GB/s
2026-05-03 21:11:20,3.00 GB/s
2026-05-03 21:11:40,3.00 GB/s
2026-05-03 21:12:00,3.12 GB/s
2026-05-03 21:12:20,2.99 GB/s
2026-05-03 21:12:40,2.99 GB/s
