"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-04-27 21:36:00,12.4 TB
2026-04-27 21:36:15,12.5 TB
2026-04-27 21:36:30,12.5 TB
2026-04-27 21:36:45,12.5 TB
2026-04-27 21:37:00,12.6 TB
2026-04-27 21:37:15,12.6 TB
2026-04-27 21:37:30,12.6 TB
2026-04-27 21:37:45,12.7 TB
2026-04-27 21:38:00,12.7 TB
2026-04-27 21:38:15,12.7 TB
2026-04-27 21:38:30,12.7 TB
2026-04-27 21:38:45,12.8 TB
2026-04-27 21:39:00,12.8 TB
2026-04-27 21:39:15,12.8 TB
2026-04-27 21:39:30,12.9 TB
2026-04-27 21:39:45,12.9 TB
2026-04-27 21:40:00,12.9 TB
2026-04-27 21:40:15,13.0 TB
2026-04-27 21:40:30,13.0 TB
2026-04-27 21:40:45,13.0 TB
2026-04-27 21:41:00,13.1 TB
2026-04-27 21:41:15,13.1 TB
2026-04-27 21:41:30,13.1 TB
2026-04-27 21:41:45,13.2 TB
2026-04-27 21:42:00,13.2 TB
2026-04-27 21:42:15,13.2 TB
2026-04-27 21:42:30,13.2 TB
2026-04-27 21:42:45,13.3 TB
2026-04-27 21:43:00,13.3 TB
2026-04-27 21:43:15,13.3 TB
2026-04-27 21:43:30,13.4 TB
2026-04-27 21:43:45,13.4 TB
2026-04-27 21:44:00,13.4 TB
2026-04-27 21:44:15,13.5 TB
2026-04-27 21:44:30,13.5 TB
2026-04-27 21:44:45,13.5 TB
2026-04-27 21:45:00,13.6 TB
2026-04-27 21:45:15,13.6 TB
2026-04-27 21:45:30,13.6 TB
2026-04-27 21:45:45,13.7 TB
2026-04-27 21:46:00,13.7 TB
2026-04-27 21:46:15,13.7 TB
2026-04-27 21:46:30,13.7 TB
2026-04-27 21:46:45,13.8 TB
2026-04-27 21:47:00,13.8 TB
2026-04-27 21:47:15,13.8 TB
2026-04-27 21:47:30,13.9 TB
2026-04-27 21:47:45,13.9 TB
2026-04-27 21:48:00,13.9 TB
2026-04-27 21:48:15,14.0 TB
2026-04-27 21:48:30,14.0 TB
2026-04-27 21:48:45,14.0 TB
2026-04-27 21:49:00,14.1 TB
2026-04-27 21:49:15,14.1 TB
2026-04-27 21:49:30,14.1 TB
2026-04-27 21:49:45,14.1 TB
2026-04-27 21:50:00,14.2 TB
2026-04-27 21:50:15,14.2 TB
2026-04-27 21:50:30,14.2 TB
2026-04-27 21:50:45,14.3 TB
2026-04-27 21:51:00,14.3 TB
2026-04-27 21:51:15,14.3 TB
2026-04-27 21:51:30,14.4 TB
2026-04-27 21:51:45,14.4 TB
2026-04-27 21:52:00,14.4 TB
2026-04-27 21:52:15,14.5 TB
2026-04-27 21:52:30,14.5 TB
2026-04-27 21:52:45,14.5 TB
2026-04-27 21:53:00,14.6 TB
2026-04-27 21:53:15,14.6 TB
2026-04-27 21:53:30,14.6 TB
2026-04-27 21:53:45,14.6 TB
2026-04-27 21:54:00,14.7 TB
2026-04-27 21:54:15,14.7 TB
2026-04-27 21:54:30,14.7 TB
2026-04-27 21:54:45,14.8 TB
2026-04-27 21:55:00,14.8 TB
2026-04-27 21:55:15,14.8 TB
2026-04-27 21:55:30,14.9 TB
2026-04-27 21:55:45,14.9 TB
2026-04-27 21:56:00,14.9 TB
2026-04-27 21:56:15,15.0 TB
2026-04-27 21:56:30,15.0 TB
2026-04-27 21:56:45,15.0 TB
2026-04-27 21:57:00,15.1 TB
2026-04-27 21:57:15,15.1 TB
2026-04-27 21:57:30,15.1 TB
2026-04-27 21:57:45,15.1 TB
2026-04-27 21:58:00,15.2 TB
2026-04-27 21:58:15,15.2 TB
2026-04-27 21:58:30,15.2 TB
2026-04-27 21:58:45,15.3 TB
2026-04-27 21:59:00,15.3 TB
2026-04-27 21:59:15,15.3 TB
2026-04-27 21:59:30,15.4 TB
2026-04-27 21:59:45,15.4 TB
2026-04-27 22:00:00,15.4 TB
2026-04-27 22:00:15,15.5 TB
2026-04-27 22:00:30,15.5 TB
2026-04-27 22:00:45,15.5 TB
2026-04-27 22:01:00,15.6 TB
2026-04-27 22:01:15,15.6 TB
2026-04-27 22:01:30,15.6 TB
2026-04-27 22:01:45,15.6 TB
2026-04-27 22:02:00,15.7 TB
2026-04-27 22:02:15,15.7 TB
2026-04-27 22:02:30,15.7 TB
2026-04-27 22:02:45,15.8 TB
2026-04-27 22:03:00,15.8 TB
2026-04-27 22:03:15,15.8 TB
2026-04-27 22:03:30,15.9 TB
2026-04-27 22:03:45,15.9 TB
2026-04-27 22:04:00,15.9 TB
2026-04-27 22:04:15,16.0 TB
2026-04-27 22:04:30,16.0 TB
2026-04-27 22:04:45,16.0 TB
2026-04-27 22:05:00,16.1 TB
2026-04-27 22:05:15,16.1 TB
2026-04-27 22:05:30,16.1 TB
2026-04-27 22:05:45,16.2 TB
2026-04-27 22:06:00,16.2 TB
2026-04-27 22:06:15,16.2 TB
2026-04-27 22:06:30,16.2 TB
2026-04-27 22:06:45,16.3 TB
2026-04-27 22:07:00,16.3 TB
2026-04-27 22:07:15,16.3 TB
2026-04-27 22:07:30,16.4 TB
2026-04-27 22:07:45,16.4 TB
2026-04-27 22:08:00,16.4 TB
2026-04-27 22:08:15,16.5 TB
2026-04-27 22:08:30,16.5 TB
2026-04-27 22:08:45,16.5 TB
2026-04-27 22:09:00,16.6 TB
2026-04-27 22:09:15,16.6 TB
2026-04-27 22:09:30,16.6 TB
2026-04-27 22:09:45,16.6 TB
2026-04-27 22:10:00,16.6 TB
2026-04-27 22:10:15,16.6 TB
2026-04-27 22:10:30,16.6 TB
2026-04-27 22:10:45,16.6 TB
2026-04-27 22:11:00,16.6 TB
2026-04-27 22:11:15,16.6 TB
2026-04-27 22:11:30,16.6 TB
2026-04-27 22:11:45,16.6 TB
2026-04-27 22:12:00,16.6 TB
2026-04-27 22:12:15,16.6 TB
2026-04-27 22:12:30,16.6 TB
2026-04-27 22:12:45,16.6 TB
2026-04-27 22:13:00,16.6 TB
2026-04-27 22:13:15,16.6 TB
2026-04-27 22:13:30,16.6 TB
2026-04-27 22:13:45,16.6 TB
2026-04-27 22:14:00,16.6 TB
2026-04-27 22:14:15,16.6 TB
2026-04-27 22:14:30,16.6 TB
